Keyword,Frequency
delta,487
thc,103
like,54
cbd,53
high,53
just,50
shit,41
weed,38
im,38
legal,37
products,35
gummies,33
dont,30
really,27
edibles,27
good,26
tried,26
smoke,25
got,23
people,18
cannabis,18
vape,17
feel,17
use,17
actually,16
bad,16
love,16
ive,16
time,16
fda,16
sleep,15
cdc,15
make,15
thats,15
effects,15
try,15
lol,15
right,14
know,14
pain,13
health,13
think,13
work,12
anxiety,12
hit,12
hemp,12
getting,12
way,12
new,12
didnt,12
smoking,11
pretty,11
thing,11
great,11
day,11
took,11
gummy,11
yall,11
mg,11
shop,10
isnt,10
night,10
definitely,10
kinda,10
does,10
store,9
diet,9
fuck,9
cause,9
say,9
lmao,9
trust,9
yeah,9
warnings,9
cart,9
face,9
stuff,9
help,9
regular,9
taking,9
helped,8
drug,8
years,8
states,8
real,8
control,8
today,8
adverse,8
bc,8
makes,8
away,8
days,8
long,8
youre,8
id,8
marijuana,7
nice,7
feeling,7
want,7
honestly,7
theyre,7
paranoia,7
gives,7
state,7
big,7
hitting,7
lot,7
best,7
stop,7
mind,7
safe,6
straight,6
seriously,6
vapes,6
happy,6
hours,6
life,6
used,6
similar,6
dangerous,6
medical,6
months,6
crazy,6
helps,6
buy,6
shops,6
doesnt,6
issues,6
wont,6
worth,6
coming,6
pen,6
look,6
making,6
warning,6
illegal,6
bud,6
did,6
better,6
gonna,6
feds,6
week,6
trying,6
stress,6
theres,6
product,6
aint,6
going,5
enjoy,5
little,5
recently,5
deltathc,5
bit,5
using,5
pens,5
amazing,5
job,5
children,5
carts,5
called,5
gas,5
fucked,5
legalize,5
recommend,5
gets,5
bought,5
fan,5
end,5
federal,5
smoked,5
finally,5
wanna,5
kratom,5
works,5
experience,5
brain,5
things,5
body,5
sure,5
hard,5
times,5
maybe,5
alcohol,5
believe,5
need,5
ass,5
unregulated,4
joke,4
poison,4
food,4
flower,4
stronger,4
potent,4
quality,4
personally,4
sold,4
doing,4
different,4
cool,4
company,4
difference,4
havent,4
dispensary,4
feels,4
focus,4
indica,4
case,4
research,4
mid,4
quite,4
dabs,4
ill,4
thoughts,4
sleepy,4
test,4
oil,4
giving,4
looking,4
edible,4
year,4
calm,4
yesterday,4
local,4
safety,4
bro,4
joint,4
vaping,4
strong,4
free,4
helpful,4
chill,4
selling,4
market,4
thought,4
rn,4
tho,4
legit,4
level,4
anymore,4
events,4
loophole,4
news,4
fucking,4
plant,4
risks,4
low,4
couple,4
probably,4
basically,4
tell,4
fun,4
oh,4
synthetic,4
went,4
version,3
thanks,3
needed,3
stupid,3
mgs,3
properties,3
fried,3
pack,3
exposure,3
hospitalization,3
completely,3
sell,3
substance,3
threw,3
apparently,3
learned,3
ate,3
care,3
regulate,3
arent,3
reported,3
shits,3
warn,3
alternative,3
mellow,3
report,3
officials,3
yo,3
benefits,3
rest,3
wish,3
hell,3
far,3
ways,3
reaction,3
comes,3
ago,3
sells,3
anxious,3
man,3
cartridges,3
associated,3
seltzer,3
infused,3
point,3
parents,3
heard,3
management,3
dude,3
backwards,3
changed,3
having,3
concentrations,3
ppl,3
guy,3
break,3
lungs,3
positive,3
def,3
crack,3
normal,3
idk,3
pop,3
stick,3
slap,3
wildest,3
check,3
texas,3
hold,3
covid,3
mood,3
bag,3
gotta,3
concerns,3
enjoying,3
reputable,3
hits,3
fucks,3
advisory,3
cases,3
kids,3
reggie,3
legally,3
station,3
red,3
regulated,3
cannabinoid,3
farm,3
compound,3
whats,3
problem,3
wouldnt,3
industry,3
nearly,3
reg,3
truly,3
psychoactive,3
god,3
consumers,3
pick,3
regulation,3
chemicals,3
issue,3
potential,3
centers,3
lab,2
massive,2
hempderived,2
earlier,2
checked,2
game,2
mj,2
stay,2
riding,2
tryna,2
city,2
yes,2
order,2
anxietyparanoia,2
hella,2
loud,2
grow,2
sick,2
deltas,2
higher,2
warns,2
drinking,2
naturally,2
understand,2
administration,2
totally,2
worm,2
fix,2
thank,2
users,2
dose,2
science,2
ouid,2
smokers,2
solvent,2
additional,2
symptoms,2
typically,2
ton,2
cheaper,2
nah,2
tobacco,2
ban,2
amounts,2
slowly,2
immediately,2
easy,2
government,2
pass,2
heads,2
self,2
story,2
miss,2
die,2
converted,2
laws,2
listen,2
vibe,2
disposable,2
indiana,2
offers,2
slaps,2
green,2
felt,2
normally,2
july,2
heres,2
spectrum,2
taste,2
natural,2
process,2
cannabinoids,2
picked,2
severe,2
running,2
born,2
leave,2
tonight,2
ish,2
reason,2
dangerously,2
dumbass,2
takes,2
spine,2
skeptical,2
mix,2
fine,2
given,2
batch,2
damn,2
georgia,2
remains,2
surprised,2
moderation,2
keeps,2
adult,2
apartment,2
list,2
discovered,2
trips,2
boy,2
freak,2
listening,2
brand,2
form,2
overall,2
later,2
zero,2
unless,2
available,2
sense,2
money,2
waste,2
compared,2
trip,2
drawing,2
stoned,2
actual,2
corner,2
extremely,2
second,2
anytime,2
problems,2
favorite,2
juice,2
mins,2
lately,2
weird,2
highly,2
unwanted,2
attention,2
deep,2
drugs,2
fr,2
hospitalized,2
create,2
harmful,2
potentially,2
source,2
sativa,2
piss,2
relaxing,2
trusted,2
fuckin,2
slept,2
tired,2
likes,2
told,2
soo,2
shitty,2
candy,2
handle,2
pets,2
regarding,2
needs,2
hype,2
tolerance,2
aware,2
buzz,2
plus,2
regulators,2
united,2
stuck,2
joy,2
supplement,2
socalled,2
cbg,2
decided,2
companies,2
hospitalizations,2
horrible,2
nigga,2
smokin,2
center,2
michigan,2
relatively,2
mean,2
tears,2
changer,2
researched,2
awesome,2
ones,2
theyve,2
relaxed,2
super,2
wow,2
options,2
vibes,2
stopped,2
legalized,2
says,2
post,2
tastes,2
twice,2
wisconsin,2
colorado,2
prefer,2
organic,2
depends,2
migraines,2
guys,2
gr,2
mixed,2
including,2
contain,2
said,2
candies,2
huh,2
talk,2
ok,2
home,2
quit,2
fake,2
exclusively,2
controversial,2
walking,2
mf,2
dropping,2
acid,2
wait,2
affects,2
house,2
place,2
soon,2
swear,2
working,2
produce,2
ya,2
tennessee,2
cbddelta,2
feet,2
baby,2
hand,2
seen,2
issued,2
tbh,2
studies,2
girl,2
literally,2
spice,2
accident,2
weeds,2
save,2
healthcare,2
vomiting,2
chemistry,2
california,2
legality,2
kind,2
ingesting,2
disease,2
sober,2
visiting,2
benefit,2
consider,2
adhd,2
function,2
carolina,2
south,2
allows,2
sleeping,2
ngl,2
heart,2
negative,2
deadass,2
tf,2
planet,2
telling,2
thinking,2
touch,2
fantastic,2
growing,2
levels,2
mistake,2
paranoid,2
daily,2
effect,2
knock,2
come,2
lobbying,2
reports,2
required,2
worst,2
prevention,2
tuesday,2
consuming,2
random,2
agree,2
tincture,2
monday,2
starting,2
sum,1
puffing,1
drying,1
hydrate,1
choose,1
dinah,1
forced,1
harms,1
thousands,1
unsupervised,1
lightweight,1
tripped,1
uhh,1
highlights,1
norml,1
sale,1
dnuds,1
les,1
rallizes,1
weekends,1
careful,1
conservative,1
fourth,1
gummysour,1
laughed,1
tommys,1
onlegalize,1
upset,1
containing,1
adulterants,1
analytical,1
sent,1
specifically,1
washington,1
fortunately,1
component,1
unpleasant,1
wakings,1
alert,1
commission,1
database,1
requiring,1
assbackwards,1
bonus,1
sooooo,1
stomach,1
functional,1
fail,1
laboratory,1
niggas,1
classified,1
explain,1
heroin,1
shell,1
adding,1
hearing,1
dug,1
smidge,1
discredit,1
healing,1
slander,1
stated,1
tax,1
trash,1
kill,1
madness,1
counter,1
finishing,1
hated,1
messing,1
stupor,1
wasted,1
yesterdays,1
caption,1
vendors,1
wary,1
commentary,1
barely,1
loser,1
camera,1
car,1
weirdest,1
stanky,1
hybrid,1
smooth,1
caught,1
distribute,1
fines,1
jail,1
legitimate,1
synthetically,1
recovered,1
subway,1
cdcgov,1
increase,1
linked,1
providers,1
recent,1
bandaid,1
meds,1
messes,1
thoughtand,1
obviously,1
opinions,1
heat,1
isomers,1
thoughthats,1
weekday,1
concern,1
law,1
national,1
review,1
idea,1
anyways,1
reefer,1
spooky,1
watched,1
generations,1
brooooooooo,1
slappin,1
bitdecided,1
supplements,1
punches,1
weeks,1
distance,1
supreme,1
buzzing,1
dipshits,1
documentary,1
ashwagandha,1
vaporizer,1
raised,1
soaked,1
thclike,1
combination,1
concentration,1
dexadrine,1
lots,1
marijuanalike,1
uw,1
ability,1
fairly,1
frequently,1
occasionally,1
pax,1
properly,1
researchers,1
edge,1
sample,1
outlaw,1
badger,1
businesses,1
herald,1
madison,1
involved,1
label,1
manufacturers,1
notes,1
package,1
younger,1
ooooh,1
pre,1
sellin,1
wants,1
bs,1
deal,1
labeled,1
appeal,1
chocolates,1
cookies,1
creative,1
funny,1
overly,1
rely,1
vaped,1
vapesi,1
aka,1
louisiana,1
da,1
kenna,1
maeng,1
mugwort,1
sleepyother,1
lecturethis,1
math,1
boofing,1
youthink,1
minutes,1
passed,1
deltacbd,1
bigger,1
probpem,1
deceptive,1
labeling,1
knee,1
sore,1
cdcrsquos,1
cdcs,1
happens,1
isnrsqu,1
poisoned,1
poisonings,1
hide,1
nervous,1
shot,1
yikes,1
smokevapeeat,1
opposite,1
portapotty,1
smells,1
relieved,1
roll,1
yum,1
blows,1
buying,1
distillate,1
extracted,1
pesticide,1
chilling,1
shoulder,1
assure,1
connoisseur,1
perfectly,1
plain,1
simple,1
interfere,1
ahh,1
booty,1
message,1
depending,1
entirely,1
pedophiles,1
processed,1
satanists,1
solution,1
cousin,1
crashed,1
dollar,1
general,1
hardworking,1
pharmacy,1
substitutes,1
mainly,1
preroll,1
reset,1
complicated,1
ratemacraejames,1
taxed,1
wa,1
acquirable,1
tuesdays,1
unlikely,1
werent,1
excellent,1
plugs,1
soooo,1
person,1
puff,1
producing,1
stellar,1
boom,1
crackdown,1
fdacdc,1
govt,1
lasted,1
likely,1
mild,1
eb,1
biologics,1
hellfire,1
yess,1
chrisroberts,1
forbeslife,1
underway,1
underestimated,1
dabbing,1
period,1
realllyyyy,1
clutch,1
burn,1
mod,1
rug,1
outta,1
chose,1
dreamlike,1
hadi,1
mention,1
music,1
oceans,1
tales,1
nerves,1
riddled,1
eat,1
regularly,1
worried,1
easily,1
ward,1
homies,1
writes,1
punish,1
thcpot,1
versions,1
absolutely,1
anxietyanxiousnessi,1
blending,1
generally,1
sensitive,1
tiny,1
sadly,1
cigs,1
dcbd,1
pepper,1
articles,1
shilling,1
blown,1
finest,1
hour,1
park,1
drink,1
excuse,1
insomnia,1
iconic,1
stg,1
dad,1
floor,1
penis,1
showed,1
sprawled,1
yoo,1
asl,1
glycerin,1
horse,1
pay,1
rat,1
street,1
thankfully,1
waylesssketchy,1
crackhead,1
topographic,1
vivid,1
roof,1
desert,1
wake,1
sit,1
boofest,1
concoction,1
lack,1
marketing,1
organization,1
productand,1
stresses,1
stron,1
tablets,1
context,1
audio,1
hoyt,1
knows,1
laugh,1
los,1
sponsoring,1
evaluated,1
labelsmeans,1
koi,1
ask,1
scam,1
impressed,1
hoods,1
intaking,1
purchased,1
thcinfused,1
thrw,1
bueno,1
ready,1
legalised,1
area,1
brands,1
fabulous,1
injury,1
cbc,1
cbgcgn,1
combo,1
directed,1
dizzy,1
dosages,1
extra,1
lower,1
waist,1
baybeee,1
comfy,1
finna,1
min,1
schweet,1
ought,1
true,1
gladneysgirl,1
send,1
cartridge,1
intenseso,1
mars,1
gelatin,1
pool,1
run,1
lively,1
losing,1
sad,1
trick,1
relax,1
convenience,1
honest,1
accidentally,1
blindly,1
jumping,1
misinformation,1
ruin,1
terrible,1
imploding,1
specific,1
standard,1
iv,1
ml,1
saline,1
juuls,1
menthol,1
midrange,1
virginia,1
weaker,1
pittsburgh,1
reiki,1
southhills,1
treatment,1
bam,1
cures,1
goes,1
headache,1
ingested,1
asses,1
closes,1
roommate,1
jointpain,1
lighttherapy,1
magnettherapy,1
painmanagement,1
bankers,1
cfos,1
dollars,1
hundreds,1
investment,1
treasurers,1
cuz,1
energy,1
enjoyable,1
fw,1
ight,1
came,1
unlike,1
added,1
farming,1
outdoor,1
scientific,1
ropes,1
airport,1
gave,1
sitting,1
college,1
jays,1
overdid,1
strains,1
anticipate,1
authorities,1
kosher,1
ms,1
recovery,1
morning,1
miracle,1
originally,1
paid,1
pharma,1
saying,1
unknown,1
deltathe,1
extensively,1
impairment,1
entire,1
supports,1
eyebrows,1
flatbill,1
pushes,1
turns,1
currently,1
medicine,1
gspot,1
knew,1
motivated,1
answered,1
prayer,1
surprisingly,1
bar,1
capsules,1
indicas,1
pry,1
sativas,1
garbage,1
figure,1
mom,1
sobriety,1
sus,1
water,1
annoyed,1
excited,1
newsletter,1
september,1
blossom,1
botox,1
cherry,1
medicinal,1
ohio,1
regulates,1
stations,1
headshop,1
coffee,1
happened,1
highadjacent,1
netflix,1
access,1
bread,1
joyface,1
sliced,1
smokingeatingdrinking,1
weedand,1
flowerprerollscartridges,1
possibly,1
tainted,1
wellunderstood,1
chew,1
facing,1
excepted,1
migraine,1
intrusive,1
reliefnaturally,1
trulieve,1
trupod,1
sight,1
mids,1
expensive,1
enjoyed,1
believing,1
hr,1
interesting,1
lets,1
maintainclearly,1
spread,1
indigestion,1
tricking,1
ad,1
oc,1
unvaccinated,1
updates,1
vaccinations,1
vaccine,1
clearly,1
crash,1
entertaineddo,1
cruising,1
kacey,1
meant,1
moment,1
agency,1
booster,1
costly,1
flu,1
looool,1
closest,1
condition,1
fighting,1
fully,1
indication,1
purposes,1
recreational,1
mistaken,1
murky,1
status,1
cycling,1
rapid,1
triggered,1
banning,1
catching,1
pic,1
smoker,1
yea,1
togetehr,1
bunk,1
cops,1
drake,1
eating,1
consumption,1
exaggerated,1
individual,1
liberty,1
oughta,1
prohibitions,1
unwarranted,1
worry,1
waydelta,1
wifes,1
dope,1
deeby,1
dropper,1
eeby,1
fault,1
gummyso,1
secret,1
everyoneif,1
grandparent,1
hey,1
itll,1
lawd,1
parent,1
stepmom,1
usually,1
canna,1
paper,1
weekly,1
holy,1
aunts,1
knowsi,1
road,1
support,1
introducing,1
playing,1
rap,1
shouldnt,1
treats,1
advisorydelta,1
duds,1
uncontrolled,1
unsafe,1
unsanitary,1
conversion,1
convert,1
include,1
highgtfo,1
ik,1
recorded,1
contaminants,1
lead,1
manufacturing,1
occur,1
presence,1
settings,1
substances,1
intense,1
laundry,1
packed,1
marijuanabut,1
north,1
awardwinning,1
balance,1
blends,1
sending,1
customers,1
precautions,1
sees,1
spoke,1
worker,1
bfs,1
dry,1
potencywhen,1
variants,1
issuing,1
despite,1
ny,1
popular,1
pushback,1
complexity,1
aspects,1
convo,1
wo,1
zooted,1
pot,1
energizing,1
equal,1
molecule,1
euphoria,1
explore,1
flavors,1
moonwlkr,1
possible,1
push,1
terpenes,1
unique,1
late,1
lil,1
tch,1
boundaries,1
combining,1
curiosity,1
custom,1
dimensions,1
adults,1
antidote,1
ingestion,1
intoxication,1
small,1
scary,1
code,1
eighteen,1
hmmm,1
skullskull,1
wood,1
lowdown,1
pure,1
thcall,1
thcdelta,1
gm,1
cuts,1
everyday,1
lit,1
plug,1
rips,1
wavemainly,1
honeymoon,1
boneless,1
gone,1
imagine,1
motive,1
prohibition,1
straightforward,1
synthesis,1
theyd,1
sunflower,1
carries,1
hospitals,1
warned,1
mass,1
quantities,1
draws,1
illinois,1
known,1
wrong,1
andor,1
cbn,1
mixtures,1
hd,1
turned,1
gentrified,1
ages,1
service,1
strongly,1
suggest,1
syringe,1
thci,1
thcperfect,1
weeddelta,1
stimulated,1
exposures,1
january,1
october,1
percent,1
recoded,1
grade,1
itbasicallydelta,1
online,1
released,1
perfect,1
liquor,1
staying,1
highlyreccomend,1
incredible,1
kicked,1
lie,1
nebraska,1
option,1
ugh,1
avoid,1
considered,1
somewhat,1
article,1
read,1
lightweightfor,1
sensations,1
set,1
varieties,1
writing,1
happier,1
starstruck,1
border,1
tries,1
gentle,1
gummiesand,1
questionable,1
stinks,1
expansive,1
fuel,1
groggy,1
isomer,1
psychoactivity,1
roughly,1
testimony,1
twothirds,1
grandmas,1
inner,1
journey,1
overused,1
brick,1
tfw,1
tiredmg,1
anecdotal,1
deliver,1
dive,1
formal,1
drank,1
grown,1
alley,1
appreciate,1
brotha,1
nshit,1
skrong,1
disappointment,1
munchies,1
alike,1
doctors,1
ignore,1
thcthe,1
treatments,1
beer,1
booze,1
nowadays,1
og,1
oit,1
teating,1
tk,1
involve,1
reminder,1
clearheaded,1
transition,1
firee,1
addicted,1
cannabanoids,1
clean,1
converting,1
decarbing,1
needa,1
chemically,1
curiosities,1
questions,1
alternate,1
data,1
field,1
investigation,1
term,1
peace,1
popping,1
banger,1
exact,1
regulating,1
yeppp,1
yooo,1
forth,1
died,1
phones,1
reading,1
wtf,1
esp,1
loopy,1
miraculous,1
nerve,1
federally,1
potency,1
strain,1
trumps,1
war,1
craving,1
cop,1
able,1
ima,1
puts,1
hearts,1
pennsylvania,1
quarter,1
decent,1
china,1
economic,1
gauge,1
intro,1
large,1
largely,1
tip,1
wanted,1
asshole,1
bedtime,1
sacramento,1
aside,1
plenty,1
paralyzed,1
hear,1
apart,1
dumb,1
grandma,1
future,1
okay,1
annoying,1
bathroom,1
recommendations,1
nc,1
pleasant,1
reduced,1
disposables,1
grandpa,1
youve,1
acids,1
tested,1
calming,1
facts,1
avoiding,1
thumbs,1
instantly,1
started,1
sweating,1
blessing,1
farts,1
kassi,1
relief,1
coffeecolorbrotha,1
gain,1
grubbing,1
proof,1
purely,1
speculation,1
thco,1
braden,1
rude,1
todaysooooo,1
hill,1
talkin,1
world,1
tx,1
fam,1
dimension,1
sticking,1
jus,1
lmaoooo,1
customer,1
flirt,1
flirty,1
mad,1
outtttaaa,1
perfume,1
tear,1
toleratethe,1
worksi,1
smack,1
constant,1
okayi,1
sht,1
testing,1
thomsogang,1
threats,1
advertised,1
fact,1
shatter,1
tasted,1
terps,1
clayfalls,1
county,1
possessing,1
seeing,1
costs,1
floridas,1
left,1
significantly,1
exist,1
fad,1
nature,1
outlawed,1
standards,1
confessionim,1
arrested,1
brazos,1
entered,1
existence,1
lite,1
plane,1
godspeed,1
wild,1
champs,1
chemical,1
regulations,1
rise,1
smartnews,1
endorse,1
tetrahydrocannabinol,1
usage,1
athletes,1
facilitie,1
dm,1
favs,1
suggestions,1
paring,1
zoinked,1
fentanyl,1
lmaoo,1
tweekin,1
spreading,1
maybedelta,1
nihc,1
policy,1
fuxxx,1
wit,1
blast,1
comment,1
weve,1
cake,1
hurts,1
pull,1
drag,1
legislators,1
minnesota,1
repeatedly,1
association,1
began,1
jan,1
monitoring,1
tied,1
whooaaaaa,1
milder,1
priced,1
purity,1
residual,1
solvents,1
standing,1
trouble,1
aapcc,1
according,1
american,1
knowledge,1
opportunity,1
shisha,1
brother,1
consciousnessmore,1
hallucinations,1
included,1
loss,1
noticed,1
giggles,1
let,1
regret,1
yalldo,1
course,1
education,1
extraktlab,1
pleasantly,1
switch,1
kiosk,1
mall,1
shoulnt,1
smocked,1
te,1
denver,1
official,1
xd,1
af,1
forreal,1
ads,1
kush,1
realization,1
dabsect,1
living,1
neighbor,1
ran,1
lmaoalso,1
friend,1
points,1
symbol,1
legalizes,1
reasonably,1
shades,1
oocim,1
steal,1
uhhh,1
casually,1
complex,1
goodies,1
pause,1
changing,1
driving,1
rollercoaster,1
homie,1
ptsdesque,1
stressed,1
sucks,1
crying,1
loudly,1
loves,1
askin,1
comin,1
idiots,1
sound,1
battery,1
aaa,1
deltaam,1
nobut,1
smell,1
experiment,1
rip,1
tinctures,1
cat,1
flowercarts,1
perplexed,1
yesss,1
cannabisnet,1
wrap,1
moneylaundering,1
single,1
sketchiest,1
grateful,1
herbs,1
initiallyhugging,1
neutral,1
sounds,1
spices,1
subtle,1
class,1
lowkey,1
choice,1
genius,1
recommended,1
page,1
bean,1
carry,1
disorders,1
lesson,1
dea,1
raiding,1
key,1
seconds,1
stand,1
gummys,1
nugs,1
blowing,1
thcguess,1
sabotaging,1
saving,1
lmfao,1
rethink,1
cap,1
geeked,1
yrs,1
absolute,1
balls,1
happen,1
cracks,1
fell,1
legislative,1
whatre,1
common,1
europe,1
flag,1
imho,1
opioids,1
soma,1
triangle,1
uppointing,1
hawleymo,1
missouri,1
opiod,1
presc,1
require,1
severely,1
supp,1
canada,1
manufacture,1
adderral,1
meth,1
dilemmaa,1
roiling,1
supplies,1
age,1
allow,1
question,1
wretched,1
lobby,1
resulted,1
surely,1
worrying,1
florida,1
load,1
therapeutic,1
drift,1
melatonin,1
unexpected,1
zzzquil,1
drg,1
experiences,1
irredeemable,1
hyperfixation,1
worse,1
flushed,1
michigancannabismarijuana,1
mmfla,1
rot,1
google,1
cut,1
worked,1
shmoke,1
bruh,1
tickling,1
believed,1
lichrally,1
omg,1
current,1
