date,tweet,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound
Sep 14, Delta 8 is fire Red heart happy puffing,0.333,0.216,0.45,0.3182
Sep 14, HYDRATE!!!! delta 8 is kinda drying!,0.0,0.0,1.0,0.0
Sep 14," I agree with Dinah; if forced to choose, I'd pick whole plant cannabis over whatever random chemicals might be in the unsupervised regulation of delta 8 (or even delta 8 itself); at least cannabis has been used for thousands of years and we know the harms more or less.",0.048,0.12,0.832,-0.5719
Sep 14, I don't understand why the FDA and CDC can't get hemp products regulated. I get it that the marijuana industry is upset and lobbying against Delta-8 but come on...LEGALIZE AND REGULATE.,0.0,0.098,0.902,-0.2382
Sep 14," FDA And CDC Issue Warnings On Hemp-Derived Products Containing Delta-8 THC On Tuesday, the Food and Drug Administration (FDA) and Centers for Disease Control and Prevention (CDC) issued warnings to consumers about the potential risks of consuming unregulated products...",0.0,0.153,0.847,-0.6705
Sep 14, ngl the delta 8 gummies kinda hit,0.0,0.0,1.0,0.0
Sep 14," ""Adverse events included vomiting, hallucinations, trouble standing, and loss of consciousness.""

More studies are definitely needed on delta-8 THC. Also - I'd like to see more analytical chemistry on these products (purity, adulterants, residual solvents!).",0.129,0.184,0.686,-0.3244
Sep 14," The American Association of Poison Control Centers (AAPCC) began monitoring adverse events tied to delta-8 THC and found that from Jan. 1 to July 31, 2021, there were 660 reports of delta-8 THC exposure, nearly 20% of which required hospitalization, according to the CDC.",0.0,0.128,0.872,-0.7184
Sep 14, You not even getting high off that delta 8 shit. Just migraines for the rest of your life,0.0,0.184,0.816,-0.5574
Sep 14," For the science guys: Delta-8 marijuana products can be dangerous, health officials warn",0.0,0.29,0.71,-0.5423
Sep 14," What are the effects and benefits of delta-8 THC? It largely depends on your body chemistry, dose, and product quality, but by and large users report it gives a more clearheaded and less potent experience than delta-9. Tip: Try gummies for a mellow intro and gauge the vibes",0.038,0.0,0.962,0.2023
Sep 14, It's a health and safety thing.  People will put anything in their body nowadays.  Clean or not.  Delta 8 from og source can be great for people BUT more teating and what needa tk be done cause ppl oit here decarbing and converting it from other cannabanoids.,0.13,0.0,0.87,0.6486
Sep 14, I think the most (only?) helpful reminder from this is that Delta-8 THC products often involve use of potentially harmful chemicals to create the concentrations of delta-8 THC.,0.172,0.0,0.828,0.6344
Sep 14, Delta 8? More like Delta Gr8,0.628,0.0,0.372,0.7755
Sep 14," FDA, CDC issue delta-8 THC warnings after 100-plus end up in hospitals: More than 100 people in the United States have been hospitalized this year after consuming delta-8 THC products, federal health regulators warned Tuesday. The hospitalizations… ",0.068,0.105,0.827,-0.128
Sep 14," I vape Delta 8 - it does the job, won’t get you as high as normal bud in mass quantities, but if you’re just looking for a buzz it’s worth a try!",0.092,0.0,0.908,0.3903
Sep 15, Delta-8 THC draws warning from feds as Illinois again tries to crack down on the hemp product known as ‘diet weed’,0.0,0.107,0.893,-0.34
Sep 15, FDA Issues Warnings on Delta-8 THC Products,0.0,0.268,0.732,-0.296
Sep 15, FDA and CDC Issue Warnings Regarding Health Risks of Using Delta-8 THC Products,0.0,0.281,0.719,-0.5106
Sep 15," Definitely indica! You could also look into delta 8, it’s helped me a ton with my anxiety!!",0.186,0.088,0.726,0.4359
Sep 15," Health Advisory about Delta-8-THC: 

- Typically in small amounts in #cannabis
-  Made at high concentrations in some hemp and CBD products
- Adults & kids hospitalized after ingestion, w/ symptoms of cannabis intoxication
- No antidote",0.0,0.066,0.934,-0.296
Sep 15," Delta-8 Cannabis Products Can Cause Scary Health Effects, the CDC and FDA Warn - Self",0.0,0.277,0.723,-0.5574
Sep 15, What delta 8 carts ya’ll like? I haven’t found one that hit.,0.217,0.0,0.783,0.3612
Sep 15," From January 1 to July 31, 2021, 660 delta-8 THC exposures were recorded with the new product code, and one additional case was recoded as a delta-8 THC exposure from October 2020. Eighteen percent of exposures (119 of 661 cases) required hospitalization, and 39% (258 of 661",0.0,0.0,1.0,0.0
Sep 15," Manufacturing of delta-8 THC products may occur in uncontrolled or unsanitary settings, which may lead to the presence of unsafe contaminants or other potentially harmful substances.",0.0,0.074,0.926,-0.25
Sep 15," The natural amount of delta-8 THC in hemp is very low, and additional chemicals are needed to convert other cannabinoids in hemp, like CBD, into delta-8 THC (i.e., synthetic conversion). Concerns with this process include:",0.127,0.061,0.812,0.3832
Sep 15," you could smoke delta 8 for 3 straight hours and not get high...

gtfo",0.147,0.0,0.853,0.2263
Sep 15, ik im a lil late but i cant believe delta 8 is a thing,0.0,0.0,1.0,0.0
Sep 15," But the delta 8 is just weed with less TCH, u get high but not as much as regular weed…",0.0,0.0,1.0,0.0
Sep 15, New report from CDC: More adverse effects reported from delta-8 THC products (not delta-9). Murky legal status and may be mistaken for CBD products.,0.054,0.19,0.756,-0.5849
Sep 15, i think my delta 8 triggered my rapid  cycling again and it's worth it because i feel happy for the first time all week ,0.228,0.0,0.772,0.6808
Sep 15, Delta 8 edibles aren’t shit to me apparently,0.0,0.375,0.625,-0.5574
Sep 15, But they are catching on to delta 8 and a lot of states are banning it looool,0.0,0.0,1.0,0.0
Sep 16, Delta 8 is here to stay.,0.0,0.0,1.0,0.0
Sep 16, Delta-8 is riding high in the legal cannabis market. How long can it keep this up?,0.091,0.0,0.909,0.128
Sep 16," I may not use mj myself, but I fully support it's use, for any indication or condition science supports, and for recreational purposes. Closest thing to it I've used is delta 8, and that's strong enough for me. they've been fighting for years",0.225,0.063,0.712,0.8569
Sep 16, delta 8 has changed my life *turns flatbill backwards and pushes it towards my eyebrows*,0.0,0.0,1.0,0.0
Sep 16," Big pharma were the ones who originally sold cannabis as medicine. They aren't getting paid, they're just saying the safety of delta-8-thc is currently unknown.",0.104,0.0,0.896,0.4215
Sep 16, Delta-8 is awesome,0.672,0.0,0.328,0.6249
Sep 16," Edibles are possibly being tainted with delta-8.

“The health effects of delta-8 THC have not yet been researched extensively and are not well-understood. However, delta-8 THC is psychoactive and may have similar risks of impairment as delta-9 THC.”",0.0,0.054,0.946,-0.2732
Sep 16," Delta-8 is relatively safe as it's much weaker than delta-9-thc (which is what gets you high when you smoke weed). It's because it is weaker that people take more than they can chew and end up facing serious issues. Do it in moderation, people.",0.058,0.142,0.8,-0.4939
Sep 16, I mean delta 8 is just legal mid,0.231,0.0,0.769,0.128
Sep 16, Delta 8 is great if you get from reputable companies. So much misinformation from people trying to ruin the market is terrible. The product is definitely helpful for quite a lot of people. As with anything know what you are getting into before jumping in blindly.,0.168,0.166,0.666,0.0314
Sep 16, So-called ‘edibles’ might be infused with dangerous delta-8 THC marijuana,0.0,0.256,0.744,-0.4767
Sep 16," Seriously!! Shit, only really specific hemp strains with CBg and delta 8 THC help me now because at some point my body decided your standard THC will make my spine feel like it’s imploding.",0.125,0.201,0.674,-0.485
Sep 16," It's true. Authorities didn't anticipate CBD being converted to Delta 8 THC, nor did they anticipate synthetic cannabinoids. They should have. 

There ought to be federal laws that, among other things, legally regulate whole cannabis and cannabinoids.",0.11,0.0,0.89,0.4939
Sep 16," With CBD I pretty much have to take it as directed. If I take a little extra after a few days I get dizzy. I really enjoy CBC and CBG-CGN combo. Delta 8 THC can be a bit of a hit or miss, but at lower dosages it's very nice.",0.173,0.113,0.714,0.6041
Sep 16, I rather die then trust a nigga that only smokin delta 8,0.232,0.275,0.493,-0.1531
Sep 16, The Michigan Poison Control Center also reported two cases of severe adverse events to delta-8 THC in two children who ingested a parent’s delta-8 THC-infused gummies purchased from a vape shop.,0.0,0.249,0.751,-0.8225
Sep 16," “The Georgia Hemp Company can help us all feel happy and laugh more by enjoying their CBD and Delta 8 products, and by sponsoring The Audio Fun Bag, that’s coming up next on 680 The Fan! 

Who knows who Hoyt and Los will be making fun of today ",0.364,0.0,0.636,0.9715
Sep 17," While THC products are legal in many states, the FDA now stresses that no delta-8 products have been evaluated by the organization. The lack of regulated marketing of the product—and lack of warning labels—means that consumers may not know what they are getting themselves in for.",0.028,0.227,0.745,-0.8658
Sep 17, Seriously look for Delta 8. Delta 10 is good too. High with less paranoia.,0.168,0.197,0.636,0.1263
Sep 17, these delta 8 tablets are way too stron g,0.0,0.0,1.0,0.0
Sep 17," For context, regularly eat 80 mg of Delta 8 at night with zero problems. In case you’re worried
",0.0,0.246,0.754,-0.5994
Sep 17, Delta 8 is very bad for me so I stick with THC. That shit can easily end me up in a ward.,0.093,0.287,0.62,-0.7178
Sep 17, I’ll slap the shit outta my homies smoking delta 8,0.444,0.0,0.556,0.6808
Sep 17," So I didn't mention my trip last night listening to Yes's Tales from Topographic Oceans. It was the wildest most vivid dream-like experience I've ever had.

I have to find things to focus on while on my Delta 8 trips or I freak out. This time I chose music and BOY I have THOUGHTS",0.0,0.058,0.942,-0.4404
Sep 17," A federal crack down on the legal high delta-8 THC might be underway 
@_chrisroberts
 
@ForbesLife",0.103,0.0,0.897,0.128
Sep 17, I tried some Delta 8 vape carts recently and they were amazing.  There are a few reputable companies producing stellar vape carts.,0.174,0.0,0.826,0.5859
Sep 17," if it weren't for COVID-19, highly unlikely the Delta-8 THC boom would have lasted as long as it did without drawing unwanted attention from the feds, but Tuesday's FDA/CDC warnings likely the first move in a federal gov't crackdown.",0.033,0.07,0.897,-0.3542
Sep 17, I enjoy smoking Delta 8. Plugs were getting weird. The high is excellent and I can get the oil or bud anytime.,0.27,0.066,0.664,0.7351
Sep 17, The Feds Are Coming For Delta-8 THC https://distinctmoney.net/2021/09/17/the-feds-are-coming-for-delta-8-thc/,0.0,0.0,1.0,0.0
Sep 17, got some Delta 8 dabs from the local smoke shop and man this shit isn't bad at all,0.129,0.192,0.679,-0.34
Sep 17, I take legal delta-8 thc edibles and cartridges! It gives similar affects to regular thc except the paranoia. So a message potent thc in states that have yet to legalize thc,0.049,0.074,0.877,-0.2003
Sep 17, really cant wait to see in like 2.5-10 years depending what horrible side effects etc they find out are associated w delta 8. or when it comes out that its processed entirely by satanists and pedophiles and its a mind control drug,0.057,0.08,0.864,-0.25
Sep 17, Delta 8 gives me same anxiety as weed so not for me. CBD good for chilling and helps w my fucked up shoulder pain,0.172,0.328,0.5,-0.6124
Sep 17, I'm a Delta 8 connoisseur myself. And I can assure you it is perfectly safe. Just don't give it to your children and don't give it to your pets! Plain and simple!,0.279,0.0,0.721,0.8774
Sep 17," i recommend delta 8 gummies, they didn’t interfere with my bud tolerance break!",0.357,0.0,0.643,0.6114
Sep 18," People should also be aware that products labeled as hemp or CBD could contain delta-8 THC and cause psychoactive effects. Parents should keep products that contain THC or CBD away from children and pets, officials said.",0.0,0.0,1.0,0.0
Sep 18," Nearly 40% of these cases involved children younger than 18. The FDA notes that manufacturers of delta-8 THC products often package and label the products in ways that appeal to children, including selling the products as gummies, chocolates, cookies or candies.",0.0,0.0,1.0,0.0
Sep 18, Ooooh I got a delta-8 pre roll and yum and am happy Relieved face and no paranoia,0.293,0.195,0.512,0.4767
Sep 18," It blows my mind that delta 8, which is CBD extracted into distillate, and then soaked in acid to produce a THC-like reaction is sold in every state, and buying Organic raised, pesticide free, cannabis is illegal.",0.081,0.088,0.831,-0.0772
Sep 18," This combination of working out (lots of punches) for stress and Delta 8 for every three days or so, has helped me more in 2 weeks than 8 years on Dexadrine for my ADHD problems with concentration and focus I swear",0.0,0.165,0.835,-0.6908
Sep 18, There is a place that sells legit Delta 8 within walking distance from my house. I think my stress level might be dropping rather soon.,0.0,0.118,0.882,-0.4215
Sep 18, Delta 8 is the supreme mf,0.474,0.0,0.526,0.5574
Sep 18, Delta 8 is a similar to CBD but stronger,0.362,0.0,0.638,0.5267
Sep 18, buzzing off the delta 8,0.0,0.0,1.0,0.0
Sep 18," ""They"" are telling me Delta 8 is very spooky and I'll want to kill people if I use it. (They are mostly dipshits though, who watched Reefer Madness far too many times thinking it was a documentary.)",0.033,0.19,0.777,-0.8074
Sep 18, Delta 8 is just legal mid,0.273,0.0,0.727,0.128
Sep 18, girl stay AWAY from delta 8. it's literally like this generations spice. it's dangerous.,0.142,0.176,0.682,-0.1531
Sep 18," I just took 25mgs of Delta 8 on accident. 

Brooooooooo. That was a big mistake. 

I’m about to be paranoid.",0.0,0.349,0.651,-0.7579
Sep 18, Delta 8 warning,0.0,0.706,0.294,-0.34
Sep 18, Delta 8 THC is apparently dangerous now because people are taking more than they should because they think its regular CBD. Please don't take away something because some people are stupid.,0.064,0.182,0.754,-0.6369
Sep 18, This Delta 8 kinda slappin though,0.0,0.0,1.0,0.0
Sep 18," I have been taking CBD for 4 months now and it has helped quite a bit.

Decided to try Delta 8 THC supplements last night, and it is crazy how much different my stress levels are. Wouldn't take it during a weekday though...thats for sure.",0.052,0.117,0.831,-0.4404
Sep 18, If you smoke delta 8 you’re a loser,0.0,0.405,0.595,-0.5267
Sep 19, delta 8 hit me kinda hard .. just riding in the car and I can’t stop looking at myself in the front camera. Am I real?,0.0,0.136,0.864,-0.3197
Sep 19, I got delta 8 gummies and all they do is put me straight to sleep. It’s the weirdest high ever,0.096,0.096,0.808,0.0
Sep 19, I can’t because of my job but the Delta 8 gummies are legit! But it’s always good to take a long break from those too.,0.165,0.0,0.835,0.63
Sep 19, You do know all that stuff on the counter is hemp right? Delta 8 hemp is safe.,0.162,0.0,0.838,0.4404
Sep 19," Tbh after yesterday’s delta 8 high, I’m good with finishing that pack I have and not messing with it anymore. The high was really nice, but I hated how much of my day was wasted in that stupor.",0.088,0.231,0.681,-0.859
Sep 19," The FDA and CDC can't regulate and tax, the delta 8 cannabinoid. So they slander and discredit its potential for helpful and healing properties. Alcohol has all the side effects of use as the Delta- 8 THC that are stated in the caption. So why not make alcohol illegal as well?",0.145,0.0,0.855,0.7798
Sep 19, Delta 8 is trash,0.0,0.0,1.0,0.0
Sep 19, how delta 8 legal that shit had me FRIED,0.135,0.324,0.541,-0.4767
Sep 19, I recently cut way back. It was daily for me for quite a while. Delta 8 is very therapeutic for me. Does what alcohol cannot.,0.0,0.091,0.909,-0.2732
Sep 19," The wildest thing to me about Delta 8 that was an unexpected side effect of it, is that I actually get to sleep. Like ACTUALLY drift off naturally. I haven't had to take one melatonin gummy or ZzzQuil to knock myself out since starting D8.",0.053,0.104,0.843,-0.5319
Sep 19, delta 8 edibles are without question the worst dr*g i have ever done. both experiences have been truly wretched and irredeemable in any way. y’all who do these on the reg need to find god,0.217,0.0,0.783,0.8071
Sep 19, I've been taking delta 8 which has resulted in me sleeping more and drinking less alcohol but surely this isn't what's worrying the alcohol lobby,0.254,0.0,0.746,0.7318
Sep 19, Y’all sleeping on delta 8,0.0,0.0,1.0,0.0
Sep 19, That Delta 8 was no joke.,0.297,0.297,0.405,0.0
Sep 19," People really be going to Vape shops here in Florida getting fucking delta 8 weed, if you want to get high do get delta 8 it’s load of shit and it’s stanky ass weed",0.035,0.19,0.775,-0.7783
Sep 19, i can’t believe ppl actually buy those “delta 8” carts at vape shops,0.0,0.0,1.0,0.0
Sep 19, im on some delta 8 hybrid such a smooth feeling,0.176,0.0,0.824,0.128
Sep 19, I have not tried Delta 8 maybe I should !,0.0,0.0,1.0,0.0
Sep 20, Delta-8 THC in the news again,0.0,0.0,1.0,0.0
Sep 20," In weed wary Indiana, getting caught with marijuana can mean big fines & jail time. But a loophole in 2018’s Farm Bill allows vendors to distribute delta-8, a compound that offers up a legitimate high to people who want it.",0.04,0.0,0.96,0.1154
Sep 20, CDC Health Alert Network (HAN) Health Advisory: “Increases in Availability of Cannabis Products Containing Delta-8 THC and Reported Cases of Adverse Events” https://bit.ly/2Xxv81z,0.086,0.097,0.817,-0.0772
Sep 20, How tf is delta 8 legal but not thc I deadass got high,0.111,0.0,0.889,0.0644
Sep 20," My edibles are delta 8 and I don't have any concerns for them. Sometimes it's touch and go, sometimes I get barely high and other times I am on another planet somewhere. Lol",0.091,0.0,0.909,0.4215
Sep 20, im never doing delta 8 again,0.0,0.0,1.0,0.0
Sep 20, delta 8 is fantastic!!,0.677,0.0,0.323,0.6351
Sep 20, Delta-8 THC Products Are a Growing Concern for FDA - National Law Review http://bit.ly/3EAqnF8 #cannabis,0.124,0.0,0.876,0.1779
Sep 20," I'm a big fan of this delta 8 stuff, and honestly have no idea how it is still legal here.",0.296,0.096,0.609,0.5574
Sep 20, There’s delta 8 and 10 but honestly I don’t like how it messes with my ADHD meds anyways. I’d rather actually fix the problem than put a bandaid on it.,0.208,0.102,0.69,0.5719
Sep 20, CDC warns delta-8 cannabis products can get you higher than thought—and cause adverse health effects,0.0,0.231,0.769,-0.4404
Sep 20, Y’all trust that delta 8 shit?,0.333,0.364,0.303,-0.0772
Sep 20, I honestly love delta 8. I know a lot of oui'd smokers have mixed opinions on it but I personally find it to be a good alternative. It gives me less of a high obviously but i still get the effects!,0.22,0.0,0.78,0.829
Sep 20," ""CBD can be synthetically converted into delta-8 THC, as well as delta-9 THC and other THC isomers,  with a solvent, acid, and heat to produce higher concentrations of delta-8 THC than those found naturally in the cannabis plant.""",0.055,0.0,0.945,0.2732
Sep 20, my brain still hasn’t recovered from me taking the subway on 100+mg of delta 8 edibles,0.0,0.0,1.0,0.0
Sep 20, that delta 8 kinda get me right,0.0,0.0,1.0,0.0
Sep 20," I get delta 8 carts here in south Carolina sometimes, they get the job done for a bit",0.0,0.0,1.0,0.0
Sep 20," Healthcare Providers and Substance Use Researchers Should be Aware of the Increase in Adverse Events Linked to Delta-8 THC Products (see recent CDC advisory below)

https://emergency.cdc.gov/han/2021/han00451.asp via 
@CDCgov",0.075,0.081,0.844,-0.0516
Sep 21," Got a free sample of Delta-8, did not like it, Not one bit. Paranoia, on edge, and bad vibes. I threw the rest of the bag away after that. Stick with what you know.",0.13,0.145,0.724,-0.1456
Sep 21, The Feds Can't Outlaw Delta-8 THC!,0.0,0.0,1.0,0.0
Sep 21, Legal loophole allows Madison businesses to sell marijuana-like drug Delta-8 THC - UW Badger Herald,0.103,0.0,0.897,0.128
Sep 21, Only very occasionally now using a pax vaporizer. I take the delta 8 gummies fairly frequently now though. I'm a big fan due to the ability to function properly while using them. Used to smoke a ton back in the day.,0.119,0.0,0.881,0.5574
Sep 21," Ashwagandha & Kenna are two I highly recommend. Mugwort can help with focus if you aren't one it makes sleepy.

Other 2 are more controversial - kratom or maeng da & hemp flower with delta 8.",0.154,0.059,0.787,0.5267
Sep 21," delta 8 decided to hit right before my math lecture.

this will be fun",0.216,0.0,0.784,0.5106
Sep 21, From here on out I’m only boofing delta 8.,0.0,0.0,1.0,0.0
Sep 21," Vaped almost exclusively for about 4 years. Tried to quit many times but now I'm on Delta 8 vapes.

I feel more creative, funny, chill when I'm high.  Trying not to overly rely on it anymore",0.216,0.0,0.784,0.861
Sep 21, So we just gonna talk about y’all sellin delta 8 aka fake weed at smoke shops in Louisiana? The state really wants to sell weed huh,0.0,0.114,0.886,-0.4767
Sep 21, What the hell is the deal with Delta-8? Is it synthetic BS?,0.0,0.311,0.689,-0.7149
Sep 21, Hide yo gummies. The Feds Are Coming For Delta-8 THC.,0.0,0.159,0.841,-0.1779
Sep 21," Delta-8 makes me just as nervous as the covid shot .... 

 I said what I said ",0.0,0.139,0.861,-0.2732
Sep 21," Yeah, CBD and Delta 8 ain’t the same. Yikes.",0.239,0.0,0.761,0.296
Sep 21," Delta 8: it’s like weed, but you have to smoke/vape/eat twice as much.",0.127,0.0,0.873,0.1901
Sep 21, i want the opposite of delta 8 i wanna be anxious and freak out and have a bad time,0.063,0.406,0.531,-0.7964
Sep 21, this delta 8 cart tastes like how a portapotty smells,0.263,0.0,0.737,0.3612
Sep 21, CBD helps my sore knee.  If you wanna truly sleep get you some delta 8 indica,0.275,0.125,0.6,0.4588
Sep 21, So-called 'edibles' might be infused with dangerous delta-8 THC marijuana - Food Safety News ,0.166,0.183,0.651,-0.0772
Sep 22," Delta-8 THC poisonings? The CDC’s warning isn’t what you
think.
 Calm down. You're not poisoned. You're high. This is what happens when people can't buy safe, regulated products.

  The post Delta-8 THC poisonings? The CDC&rsquo;s warning isn&rsqu https://postoplan.app/Njg2NA",0.098,0.286,0.616,-0.8569
Sep 22, Bro I hit a joint of delta-8 and passed the fuck out like 15 minutes after smoking it,0.125,0.175,0.7,-0.25
Sep 22," If any of you guys fuck with Delta-8/CBD, these are the SHIT. I have never had a product this good.",0.129,0.299,0.572,-0.666
Sep 22, Tried delta 8 yesterday it’s straight,0.322,0.0,0.678,0.2263
Sep 22, Delta 8 is becoming a bigger probpem,0.0,0.0,1.0,0.0
Sep 22," A product can have both, but seriously the level of deceptive labeling in this product if it isn't mainly delta-8.",0.0,0.102,0.898,-0.2617
Sep 22, I stopped smoking regular thc about two months ago after smoking daily 24/7. Now I smoke a delta-8 preroll like once a week and it gets me pretty high honestly but I think my tolerance definitely reset after taking a little break. Personally I really like it though,0.304,0.028,0.668,0.9186
Sep 22," If delta-8 THC is legalized and taxed, and if it's 50% as potent as delta-9, should it be taxed at 50% of the D9 rate?

@MacRaeJames
 in WA says it's more complicated.",0.0,0.0,1.0,0.0
Sep 22," Delta 8 flower is a pretty nice solution I've found, would recommend. It's acquirable legally just about everywhere.",0.526,0.0,0.474,0.8807
Sep 22, please dont smoke delta 8 my cousin smoked it and crashed in to the dollar general,0.141,0.0,0.859,0.3182
Sep 22," I love THC but because I work in a pharmacy I now use CBD Delta 8 and 9 are amazing substitutes. I get the best sleep of my life. 

Most people I know who do smoke are good hardworking people",0.384,0.0,0.616,0.961
Sep 22, Nigga love him some Delta 8 lol,0.636,0.0,0.364,0.7906
Sep 22, Fuck them shitty booty ahh delta 8 pens,0.0,0.587,0.413,-0.7964
